epoch,loss,iou
0,1.738124,0.722180
1,1.833951,0.699807
2,1.752311,0.697760
3,1.797230,0.710409
4,1.794121,0.710736
5,1.819829,0.676812
6,1.773779,0.700217
7,1.827639,0.701240
8,1.791298,0.709684
9,1.794552,0.680293
10,1.816455,0.693106
11,1.848505,0.685286
12,1.749596,0.702106
13,1.800979,0.696909
14,1.752437,0.696751
15,1.764959,0.666993
16,1.898881,0.709919
17,1.731752,0.686683
18,1.737575,0.703910
19,1.792232,0.673526
20,1.808651,0.714588
21,1.736793,0.704795
22,1.763094,0.727231
23,1.713405,0.712813
24,1.773853,0.735286
25,1.724729,0.724030
26,1.716305,0.694564
27,1.822144,0.685618
28,1.918223,0.677567
29,1.875710,0.682588
30,2.002854,0.700701
31,1.693895,0.675270
32,1.818793,0.699215
33,1.774047,0.678666
34,1.796229,0.712720
35,1.743840,0.708698
36,1.798715,0.703439
37,1.831462,0.704590
38,1.727566,0.707630
39,1.771661,0.707259
40,1.716591,0.709170
41,1.784312,0.709544
42,1.758893,0.717501
43,1.719404,0.720375
44,1.753701,0.679412
45,1.746506,0.689806
46,1.728999,0.699453
47,1.745032,0.704456
48,1.805393,0.684075
49,1.743164,0.675049
50,1.962113,0.698980
51,1.841196,0.650525
52,1.893182,0.716798
53,1.711373,0.716666
54,1.734909,0.710960
55,1.718425,0.689489
56,1.903644,0.707497
57,1.849374,0.719434
58,1.776709,0.721424
59,1.804598,0.710645
60,1.766769,0.707612
61,1.801026,0.728983
62,1.713300,0.675840
63,1.876989,0.658158
64,1.912165,0.670702
65,1.933729,0.714055
66,1.801167,0.694615
67,1.812526,0.703601
68,1.753830,0.709336
69,1.772905,0.702194
70,1.813480,0.709489
71,1.710059,0.712463
72,1.712903,0.715865
73,1.777910,0.713844
74,1.773822,0.726664
75,1.723867,0.700399
76,1.705306,0.720535
77,1.721074,0.716113
78,1.757479,0.701503
79,1.806537,0.721958
80,1.766039,0.715924
81,1.706690,0.715402
82,1.740104,0.706008
83,1.717184,0.710898
84,1.854791,0.732438
85,1.750933,0.717137
86,1.728475,0.709600
87,1.775596,0.698744
88,1.727211,0.685783
89,1.837837,0.682027
90,1.842430,0.690345
91,1.777611,0.677904
92,1.869665,0.648220
93,1.909209,0.688121
94,1.875140,0.727358
95,1.730928,0.725314
96,1.711841,0.720049
97,1.730579,0.714584
98,1.809936,0.709857
99,1.730724,0.697330
100,1.862091,0.705578
101,1.729086,0.699115
102,1.834337,0.699701
103,1.868211,0.701886
104,1.857885,0.722622
105,1.810174,0.709234
106,1.731162,0.695283
107,1.779416,0.717040
108,1.718217,0.698049
109,1.751632,0.680529
110,1.769960,0.707122
111,1.776624,0.712099
112,1.777932,0.724761
113,1.720523,0.710508
114,1.820922,0.710620
115,1.810689,0.707603
116,1.760938,0.708462
117,1.820712,0.707250
118,1.822801,0.712245
119,1.739214,0.718497
120,1.703943,0.710951
121,1.802493,0.711210
122,1.869610,0.691166
123,1.783418,0.701727
124,1.930763,0.698524
125,1.738356,0.621257
126,1.951361,0.696103
127,1.743165,0.695346
128,1.887049,0.725579
129,1.693648,0.682809
130,1.739593,0.663026
131,1.894150,0.707628
132,1.881225,0.671645
133,1.796427,0.692132
134,1.886736,0.709098
135,1.759344,0.682509
136,1.752622,0.702053
137,1.820538,0.720492
138,1.845101,0.687406
139,1.702501,0.679441
140,1.813435,0.685863
141,1.724990,0.654020
142,1.949055,0.723101
143,1.721416,0.715557
144,1.752649,0.711114
145,1.689883,0.711605
146,1.772748,0.723306
147,1.808226,0.699000
148,1.866006,0.676445
149,1.785460,0.713023
150,1.788099,0.721626
151,1.713377,0.723706
152,1.714393,0.713826
153,1.779428,0.728726
154,1.729613,0.717845
155,1.715831,0.680455
156,1.915157,0.718904
157,1.720905,0.670194
158,1.813182,0.716793
159,1.837713,0.649416
160,1.928567,0.720915
161,1.737882,0.707786
162,1.787774,0.700458
163,1.837016,0.722424
164,1.690493,0.702156
165,1.770414,0.715704
166,1.716562,0.718970
167,1.732151,0.714794
168,1.724909,0.708920
169,1.820688,0.701080
170,1.729041,0.704599
171,1.910960,0.687632
172,1.859205,0.682424
173,1.858190,0.720980
174,1.708065,0.695727
175,1.853294,0.731142
176,1.686537,0.707082
177,1.757336,0.709488
178,1.782689,0.722329
179,1.763091,0.716376
180,1.711953,0.699105
181,1.779854,0.694597
182,1.836055,0.697162
183,1.815828,0.678534
184,1.805610,0.684636
185,1.873597,0.671892
186,1.762161,0.688859
187,1.856224,0.682734
188,1.830053,0.663174
189,1.764024,0.706907
190,1.800964,0.707632
191,1.788963,0.707806
192,1.766802,0.692163
193,1.808228,0.684658
194,1.849528,0.718954
195,1.711160,0.717596
196,1.752488,0.702312
197,1.735245,0.686424
198,1.853892,0.706860
199,1.770834,0.725927
200,1.705128,0.720378
201,1.730980,0.727180
202,1.744292,0.728914
203,1.708417,0.717882
204,1.709013,0.661995
205,1.777555,0.738812
206,1.716707,0.707756
207,1.828246,0.710321
208,1.834999,0.690818
209,1.871873,0.690485
210,1.832894,0.699112
211,1.779150,0.675538
212,2.092238,0.712212
213,1.787036,0.671688
214,1.774032,0.697110
215,1.751662,0.713820
216,1.733929,0.714559
217,1.750603,0.712267
218,1.732621,0.718123
219,1.723921,0.709453
220,1.777598,0.709960
221,1.757026,0.697622
222,1.713090,0.692459
223,1.847416,0.712041
224,1.845941,0.695301
225,1.718412,0.703602
226,1.815561,0.727394
227,1.844595,0.715826
228,1.709785,0.709470
229,1.838401,0.721039
230,1.700702,0.717298
231,1.739253,0.729048
232,1.720493,0.715588
233,1.750540,0.714940
234,1.757235,0.703860
235,1.736231,0.728445
